statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;AUSLAND;Ausland;2885886;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;80012343;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2019;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;29940820;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;78209915;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2018;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;29183286;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;75242699;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2017;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;27899052;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;73307045;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2016;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;26867251;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;70571203;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2015;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;25681380;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
