Wohnfläche,Baujahr_kl,Grundpreis_eur_m2
47-48,1967-1977,13.14
49-50,1967-1977,12.92
51-52,1967-1977,12.72
53-54,1967-1977,12.55
55-56,1967-1977,12.39
57-58,1967-1977,12.25
59-60,1967-1977,12.13
61-62,1967-1977,12.02
63-64,1967-1977,11.91
65-66,1967-1977,11.81
67-68,1967-1977,11.72
69-70,1967-1977,11.62
71-72,1967-1977,11.53
73-74,1967-1977,11.44
75-76,1967-1977,11.35
77-78,1967-1977,11.26
79-80,1967-1977,11.17
81-82,1967-1977,11.09
83-84,1967-1977,11.01
85-86,1967-1977,10.93
87-88,1967-1977,10.86
89-90,1967-1977,10.79
91-92,1967-1977,10.72
93-94,1967-1977,10.66
95-96,1967-1977,10.6
97-98,1967-1977,10.54
99-100,1967-1977,10.49
101-102,1967-1977,10.45
103-104,1967-1977,10.41
105-106,1967-1977,10.38
107-108,1967-1977,10.35
109-110,1967-1977,10.33
111-112,1967-1977,10.31
113-114,1967-1977,10.31
115-116,1967-1977,10.3
117-118,1967-1977,10.31
119-120,1967-1977,10.32
121-122,1967-1977,10.34
123-124,1967-1977,10.36
125-126,1967-1977,10.38
127-128,1967-1977,10.42
129-130,1967-1977,10.45
131-132,1967-1977,10.49
133-134,1967-1977,10.52
135-136,1967-1977,10.57
137-138,1967-1977,10.61
139-140,1967-1977,10.65
141-142,1967-1977,10.69
143-144,1967-1977,10.74
145-146,1967-1977,10.78
147-148,1967-1977,10.82
149-150,1967-1977,10.86
151-152,1967-1977,10.9
153-154,1967-1977,10.93
155-156,1967-1977,10.96
157-158,1967-1977,10.99
159-160,1967-1977,11.01
20-22,1978-1988,19.37
23-24,1978-1988,18.59
25-26,1978-1988,17.86
27-28,1978-1988,17.19
29-30,1978-1988,16.58
31-32,1978-1988,16.02
33-34,1978-1988,15.5
35-36,1978-1988,15.04
37-38,1978-1988,14.61
39-40,1978-1988,14.23
41-42,1978-1988,13.88
43-44,1978-1988,13.57
45-46,1978-1988,13.3
47-48,1978-1988,13.05
49-50,1978-1988,12.83
51-52,1978-1988,12.63
53-54,1978-1988,12.46
55-56,1978-1988,12.3
57-58,1978-1988,12.17
59-60,1978-1988,12.04
61-62,1978-1988,11.93
63-64,1978-1988,11.82
65-66,1978-1988,11.72
67-68,1978-1988,11.63
69-70,1978-1988,11.53
71-72,1978-1988,11.44
73-74,1978-1988,11.35
75-76,1978-1988,11.26
77-78,1978-1988,11.17
79-80,1978-1988,11.08
81-82,1978-1988,11.0
83-84,1978-1988,10.92
85-86,1978-1988,10.84
87-88,1978-1988,10.77
89-90,1978-1988,10.7
91-92,1978-1988,10.63
93-94,1978-1988,10.57
95-96,1978-1988,10.51
97-98,1978-1988,10.45
99-100,1978-1988,10.4
101-102,1978-1988,10.36
103-104,1978-1988,10.32
105-106,1978-1988,10.29
107-108,1978-1988,10.26
109-110,1978-1988,10.24
111-112,1978-1988,10.22
113-114,1978-1988,10.22
115-116,1978-1988,10.22
117-118,1978-1988,10.22
119-120,1978-1988,10.23
121-122,1978-1988,10.25
123-124,1978-1988,10.27
125-126,1978-1988,10.3
127-128,1978-1988,10.33
129-130,1978-1988,10.36
131-132,1978-1988,10.4
133-134,1978-1988,10.44
135-136,1978-1988,10.48
137-138,1978-1988,10.52
139-140,1978-1988,10.56
141-142,1978-1988,10.61
143-144,1978-1988,10.65
145-146,1978-1988,10.69
147-148,1978-1988,10.73
149-150,1978-1988,10.77
151-152,1978-1988,10.81
